State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Kerala,Thiruvananthapuram,Vamanapuram,"Bitter gourd",Other,FAQ,16/09/2025,7500,8000,7500
Kerala,Thiruvananthapuram,Vamanapuram,Coconut,Other,FAQ,16/09/2025,8000,8500,8000
Kerala,Thiruvananthapuram,Vamanapuram,Potato,Other,Non-FAQ,16/09/2025,4000,4500,4000
Kerala,Thiruvananthapuram,Vamanapuram,Tapioca,Other,FAQ,16/09/2025,4000,4500,4000
Odisha,Dhenkanal,Hindol,"Bhindi(Ladies Finger)",Bhindi,FAQ,16/09/2025,5000,5500,5200
Odisha,Dhenkanal,Hindol,Drumstick,Drumstick,FAQ,16/09/2025,9500,10000,9800
Punjab,Amritsar,Rayya,"Green Chilli","Green Chilly",FAQ,16/09/2025,2500,2500,2500
Punjab,Amritsar,Rayya,Potato,Other,FAQ,16/09/2025,1400,1400,1400
Punjab,Gurdaspur,Kalanaur,Pumpkin,Other,FAQ,16/09/2025,250,250,250
Punjab,Hoshiarpur,"Garh Shankar",Carrot,Carrot,FAQ,16/09/2025,1700,2000,1800
Punjab,Hoshiarpur,"Garh Shankar","Field Pea",Other,FAQ,16/09/2025,7000,8000,7500
Punjab,Hoshiarpur,"Garh Shankar",Garlic,Average,FAQ,16/09/2025,4500,6000,5000
Punjab,Hoshiarpur,"Garh Shankar","Mousambi(Sweet Lime)",Mousambi,Medium,16/09/2025,4000,5000,4500
Punjab,Hoshiarpur,"Garh Shankar",Onion,Other,FAQ,16/09/2025,1500,1800,1700
Punjab,Hoshiarpur,"GarhShankar (Kotfatuhi)",Apple,American,Large,16/09/2025,5000,7500,6000
Punjab,Hoshiarpur,"GarhShankar (Kotfatuhi)",Potato,Other,FAQ,16/09/2025,900,1100,1000
Punjab,Hoshiarpur,"Tanda Urmur","Bitter gourd",Other,FAQ,16/09/2025,4000,5000,4500
Punjab,Hoshiarpur,"Tanda Urmur","Green Chilli",Other,FAQ,16/09/2025,2500,3000,2800
Punjab,Hoshiarpur,"Tanda Urmur",Onion,Other,FAQ,16/09/2025,2000,2500,2200
Punjab,Hoshiarpur,"Tanda Urmur",Potato,Other,FAQ,16/09/2025,1100,1300,1200
Punjab,Hoshiarpur,"Tanda Urmur",Tomato,Other,FAQ,16/09/2025,2500,3000,2800
Punjab,Ludhiana,Ludhiana,"Bottle gourd",Other,FAQ,16/09/2025,400,2200,1400
Punjab,Ludhiana,Ludhiana,"Green Chilli",Other,FAQ,16/09/2025,1200,2100,1800
Punjab,Ludhiana,Ludhiana,Pomegranate,Other,Medium,16/09/2025,3000,7000,5000
Punjab,Ludhiana,Ludhiana,Raddish,Other,FAQ,16/09/2025,500,1200,800
Punjab,Patiala,Samana,"Banana - Green",Other,FAQ,16/09/2025,3000,4000,3500
Punjab,Patiala,Samana,Lemon,Other,FAQ,16/09/2025,3500,5000,4000
